,precision,recall,f1-score,support
airplane,0.878419452887538,0.867,0.8726723704076497,1000.0
auto,0.9428868120456906,0.908,0.9251146204788588,1000.0
bird,0.8229376257545271,0.818,0.8204613841524574,1000.0
cat,0.7026515151515151,0.742,0.7217898832684825,1000.0
deer,0.8454810495626822,0.87,0.8575653031049778,1000.0
dog,0.7698334965719883,0.786,0.7778327560613558,1000.0
frog,0.9299568965517241,0.863,0.8952282157676348,1000.0
horse,0.8942505133470225,0.871,0.8824721377912866,1000.0
ship,0.9025787965616046,0.945,0.9233023937469467,1000.0
truck,0.913086913086913,0.914,0.9135432283858069,1000.0
accuracy,0.8584,0.8584,0.8584,0.8584
macro avg,0.8602083071521205,0.8583999999999999,0.8589982293165456,10000.0
weighted avg,0.8602083071521205,0.8584,0.8589982293165458,10000.0
