,precision,recall,f1-score,support
airplane,0.927,0.927,0.927,1000.0
auto,0.9562624254473161,0.962,0.959122632103689,1000.0
bird,0.8809055118110236,0.895,0.8878968253968254,1000.0
cat,0.8336776859504132,0.807,0.8201219512195121,1000.0
deer,0.9318885448916409,0.903,0.9172168613509396,1000.0
dog,0.8387404580152672,0.879,0.8583984375000001,1000.0
frog,0.9558974358974359,0.932,0.9437974683544303,1000.0
horse,0.9284294234592445,0.934,0.9312063808574277,1000.0
ship,0.9468503937007874,0.962,0.9543650793650794,1000.0
truck,0.9548192771084337,0.951,0.9529058116232464,1000.0
accuracy,0.9152,0.9152,0.9152,0.9152
macro avg,0.9154471156281563,0.9152000000000001,0.915203144777115,10000.0
weighted avg,0.9154471156281563,0.9152,0.915203144777115,10000.0
