,precision,recall,f1-score,support
airplane,0.8864321608040201,0.882,0.8842105263157894,1000.0
auto,0.9302554027504911,0.947,0.9385530227948463,1000.0
bird,0.8311688311688312,0.832,0.8315842078960519,1000.0
cat,0.707774798927614,0.792,0.7475224162340727,1000.0
deer,0.8827800829875518,0.851,0.8665987780040733,1000.0
dog,0.7899159663865546,0.752,0.7704918032786885,1000.0
frog,0.8987217305801377,0.914,0.9062964799206743,1000.0
horse,0.9196525515743756,0.847,0.8818323789692868,1000.0
ship,0.8975563909774437,0.955,0.9253875968992249,1000.0
truck,0.9504741833508957,0.902,0.9256028732683428,1000.0
accuracy,0.8674,0.8674,0.8674,0.8674
macro avg,0.8694732099507915,0.8674,0.8678080083581051,10000.0
weighted avg,0.8694732099507916,0.8674,0.8678080083581051,10000.0
