,precision,recall,f1-score,support
airplane,0.8849391955098223,0.946,0.9144514258095698,1000.0
auto,0.9775051124744376,0.956,0.9666329625884732,1000.0
bird,0.8768328445747801,0.897,0.8868017795353437,1000.0
cat,0.851931330472103,0.794,0.8219461697722568,1000.0
deer,0.8982558139534884,0.927,0.9124015748031497,1000.0
dog,0.8277467411545624,0.889,0.8572806171648988,1000.0
frog,0.9477459016393442,0.925,0.9362348178137653,1000.0
horse,0.9625668449197861,0.9,0.9302325581395349,1000.0
ship,0.9752832131822863,0.947,0.960933536276002,1000.0
truck,0.9504950495049505,0.96,0.9552238805970149,1000.0
accuracy,0.9141,0.9141,0.9141,0.9141
macro avg,0.9153302047385562,0.9140999999999998,0.9142139322500007,10000.0
weighted avg,0.9153302047385561,0.9141,0.9142139322500008,10000.0
